site_numbet,site_sql_id,site_name,LAT,LON,COMMENT,GAGETAG,Elevation,ElevationComment
55S,1176,South Fork Snoqualmie,47.50202,-121.786,Sample from trail bridge downstream of North Bend Blvd,Metro Lab Sample Site,,
56A,588,Swamp Creek at Bothell Way,47.75516,-122.234,"Formerly SWP0043000,",Water Temperature Recorder,,
56C,589,Swamp Creek at Locust Rd.,47.79895,-122.255,Formerly SWP0428000,Water Temperature Recorder,,
56b,196,Swamp Creek,47.76763,-122.243,Gap in flow record 2006.,Stream Gauge(Recording),,
58A,1122,"Thornton Creek near Mouth, STA046, USGS 1212800 data before 2013",47.69624,-122.277,At site of discontinued USGS gage 12128000,Stream Gauge(Recording),25,from iMap 5' contours
58C,1673,Thornton Creek North Branch (35TH Ave NE & NE 110TH Street) SPU STA033,47.70846,-122.29,Seattle Public Utilities hosted data,Stream Gauge(Recording),,
58D,1675,Thornton Creek North Branch At Jackson Golf Course (STA066) (10TH Ave NE & NE 135TH Street) Seattle Public Utilities site,47.72476,-122.315,"47.725030 & 122.319903, moved in 2019 47.72476, -122.31475",Stream Gauge(Recording),,
58E,1674,Thornton Creek South Branch STA039 (9TH Ave NE & NE 105TH Street) Seattle Public Utilities site STA039,47.70666,-122.318,Seattle Public Utilities hosted data,Stream Gauge(Recording),,
58F,1858,Thornton Creek South Branch - Maple Leaf Creek (STA049),47.70692,-122.293,Seatle Public Utilities Gauge,Stream Gauge(Recording),60,
60A,1178,Tolt River,47.63805,-121.918,Mouth of Tolt: RB of river above confluence,Metro Lab Sampling Site,,
61A,852,Tuck Creek,47.7438,-122.01,,Stream Gauge(Recording),64,from imap
63a,198,Lewis Creek at West Lake Sammamish Parkway SE,47.56377,-122.095,activated for WRIA 8 project,Stream Gauge(Recording),,
63y,202,Cougar Mountain Rain Gauge,47.5411,-122.098,snapped to GPS,Precipitation Gauge(Recording),1320,Taken from Google Topo
65A,704,"Tahlequah Creek at mouth, Vashon Island",47.3345,-122.509,Gage site adjacent to the downstream end of culvert under SW Pohl Rd,Stream Gauge(Recording),,
65B,703,"Fisher Creek at mouth, Vashon Island",47.3841,-122.482,Gage sit adjacent to the upsteam end of culvert under Vashon Hwy SW,Stream Gauge(Recording),,
65U,730,"Tahlequah Rain Gage, Vashon Island",47.33458,-122.509,At Mr. and Mrs. Hall 28206 137th SW,Precipitation Gauge(Recording),,
66U,1930,White River Rain Gage at Janssen's Addition,47.2761,-122.152,,Precipitation Gauge(Recording),,
67B,1184,Tibbetts Creek @ State Park Entrance,47.552,-122.068,,Metro Lab Sample Site,,
67u,204,Tibbetts Creek Rain Gauge,47.5267,-122.063,snapped to GPS,Precipitation Gauge(Recording),,
68A,1679,Carkeek Park (Pipers Creek) Seattle Public Utilities site (STA508),47.71062,-122.371,Seattle Public Utilities hosted data,Stream Gauge(Recording),,
69B,1074,Boise at 268th AV SE,47.1903,-121.984,,Stream Gauge(Recording),744.35,"KC survey, L. Goulet, May 2010"
69C,1073,Boise at 276th AV SE,47.1885,-121.974,,Stream Gauge(Recording),755.18,"KC survey, L. Goulet, May 2010"
69D,2154,Boise Creek at 284th Ave SE,47.18542,-121.963,Bickford Restoration,Stream Gauge(Recording),,
69E,2155,Boise Creek at Bickford Restoration,47.1856,-121.964,Bickford Restoration,Stream Gauge(Recording),,
69F,2156,Boise Creek above Beaver Creek,47.18524,-121.966,Bickford Restoration,Stream Gauge(Recording),,
69_BIWL_1,2157,Middle Boise Bickford Groundwater Well #1,47.18504,-121.966,Bickford Restoration,Groundwater Observation Well(Recording),,
69_BIWL_2,2158,Middle Boise Bickford Groundwater Well #2,47.18551,-121.964,Bickford Restoration,Groundwater Observation Well(Recording),,
69_BIWL_3,2159,Middle Boise Bickford Groundwater Well #3,47.1855,-121.965,,Groundwater Observation Well(Recording),,
69_BIWL_4,2160,Middle Boise Bickord Groundwater Well #4,47.18518,-121.965,,Groundwater Observation Well(Recording),,
69_BIWL_5,2161,Middle Boise Bickford Groundwater Well #5,47.18518,-121.964,,Groundwater Observation Well(Recording),,
AMSLK,1870,Ames Lake,47.63893,-121.959,,Temperature and Lake Level (Recording),250,iMap
ANGLK,1879,Angle Lake,47.42877,-122.285,,Temperature and Lake Level (Recording),350,
AUB_RAIN,1528,Auburn City Hall Rain Gauge,47.30782,-122.23,Hosted data for City of Auburn,Precipitation Gauge(Recording),100,estimate
Allen_1,1166,Allen Lk Outlet at NE 8th,47.6165,-122.009,,Stream Gauge(Recording),342,
BART,1149,Barton Rain Gage - Westside School,47.53276,-122.375,WTD,Precipitation Gauge(Recording),460,iMap 5' contours
BC0105A,1460,Bear Creek above Evans Confluence,47.6786,-122.093,"Installed for Bear Cr basin plan, 2014",Water Temperature Recorder,50,from iMap 5' contours
BC0114,1206,Stensland Creek at Evans Creek Trail - Big Bear Cr tributary 0114,47.68484,-122.087,Novelty Hill project,Stream Gauge(Recording),108,imap
BDIA,664,Black Diamond I&I Rain Gage,47.30523,-122.006,At WTD pump station near Jones Lake,Precipitation Gauge(Recording),,
BEAR,671,Little Bear I&I Rain Gage,47.79037,-122.133,,Precipitation Gauge(Recording),,
BELL300LQY300101,1036,Bellevue PS,47.6045,-122.204,,WTD Rain Gage,,
BOTH,665,Bothell I&I Rain Gage,47.79104,-122.233,elevation 437 feet by topo,Precipitation Gauge(Recording),,
BSE_1,1718,Boise Creek near Mouth,,,,Stream Gauge(Recording),,
BVRLK,1868,Beaver Lake,47.59016,-121.998,,Temperature and Lake Level (Recording),410,Topo line iMap
BW2_Rain,2116,Brightwater rain gage on ground,47.78573,-122.141,New gage at Brightwater campus. On ground. At SW corner of property.,Precipitation Gauge(Recording),183,
BW_rain,743,Brightwater site rain gage,47.79171,-122.143,,Precipitation Gauge(Recording),170,from topo
Bellevue-CCF,1542,Coal Creek at Newport Shores - City of Bellevue data,47.57085,-122.187,Data from City of Bellevue,Stream Gauge(Recording),,
CB-1,1421,Shoreline WQI Site CB-1,,,,Stream Gauge(Recording),,
CB_MW1,1630,Upstream Levee #2,47.66917,-121.922,Screened Wellpoint,Stream Gauge(Recording),54.16,
CB_MW2,1631,Middle Floodplain,47.67079,-121.924,Screened wellpoint,Stream Gauge(Recording),54.97,
CCQ_MW1,1626,Cold Creek Quadrant Wetland,,,Screened Wellpoint,Groundwater Observation Well(Recording),,
CHRLF_E1,849,Cedar Hills Site E1,47.46683,-122.04,,Stream Gauge(Recording),505.99,"From SWD survey, SWD staff gage"
CHRLF_E2,848,Cedar Hills Site E2,47.46504,-122.037,Stage only,Stream Gauge(Recording),490.5,"From SWD survey, SWD staff gage"
CHRLF_MET,843,Cedar Hills Landfill Met Station,47.46277,-122.043,operated by SWD,Weather Station,775,From SWD topo
CHRLF_N1,834,Cedar Hills Site N1,47.47321,-122.057,,Stream Gauge(Recording),361.26,From SWD Survey
CHRLF_N4,833,Cedar Hills Site N4,47.47228,-122.053,,Stream Gauge(Recording),473.84,"From SWD survey, NAD83 NVGD 88"
CHRLF_S1,839,Cedar Hills Site S1,47.45317,-122.051,,Stream Gauge(Recording),485.51,"From SWD survey NAD83, NGVD 88, SWD Staff"
CHRLF_S2,840,Cdedar Hills Site S2,47.45168,-122.049,,Stream Gauge(Recording),460.77,"From SWD survey NAD83, NGVD 88"
CHRLF_SW1,842,Cedar Hills Site SW1 CSG,47.45167,-122.056,,Stream Gauge(Recording),494.49,"From SWD survey NAD83, NGVD 88"
CL_Lake,1573,Cottage lake Level,47.75264,-122.091,bad battery. contact jonathanmorrison@outlook.com before accessing,Stream Gauge(Recording),237.99,top steel pipe
CL_MET,802,Cold Creek Met Station,47.74987,-122.097,,Weather Station,240,from 5 foot contour map
COB_06C,1867,Coal Creek below I-405,47.56774,-122.181,above log weirs. operated for City of Bellevue,Stream Gauge(Recording),,
COB_CCF,1607,City of Bellevue Coal Creek at Skagit Key flow station,47.56961,-122.183,operated for City of Bellevue,Stream Gauge(Recording),,
COB_GOFF130,1866,Goff Creek at 130th NE,47.63146,-122.166,City of Bellevue hosted data.,Stream Gauge(Recording),,
COB_KCF,1609,City of Bellevue Kelsey Creek at NE 8th flow staion,47.61748,-122.164,operated for City of Bellevue,Stream Gauge(Recording),124.86,from Bellevue
COB_MCF,1943,"City of Bellevue Mercer Creek, former USGS 12120000",47.60305,-122.181,operated for City of Bellevue,Stream Gauge(Recording),,
COB_RG01,1601,City of Bellevue NE 40th Rain Gage,47.64764,-122.145,City of Bellevue hosted data.,Precipitation Gauge(Recording),,
COB_RG02,1595,City of Belleveu Cherry Crest Rain Gage,47.63205,-122.17,City of Bellevue hosted data.,Precipitation Gauge(Recording),,
COB_RG03,1599,City of Bellevue Lakemont Rain Gage,47.55794,-122.113,City of Bellevue hosted data.,Precipitation Gauge(Recording),,
COB_RG04,1594,City of Bellevue BSC rain gage,47.63611,-122.189,City of Bellevue hosted data,Precipitation Gauge(Recording),,
COB_RG05,1600,Cit of Bellevue Meydenbauer Rain Gage,47.60374,-122.21,City of Bellevue hosted data.KC logger installed 6/3/2020 tele site MEY,Precipitation Gauge(Recording),,
COB_RG06,1604,City of Bellevue I405 Rain Gage,47.56661,-122.179,City of Bellevue hosted data.,Precipitation Gauge(Recording),,
COB_RG07,1598,City of Bellevue Forest Hills Rain Gage,47.55278,-122.152,City of Bellevue hosted data. KC logger tele site FORH,Precipitation Gauge(Recording),,
COB_RG08,1597,City of Bellevue CrossRoads Rain Gage,47.61679,-122.125,City of Bellevue hosted data.,Precipitation Gauge(Recording),,
COB_RG09,1596,City of Bellevue Cougar Mt. #2 Rain Gage,47.54862,-122.113,City of Bellevue hosted data.,Precipitation Gauge(Recording),,
COB_RG10,1602,City of Bellevue Parksite Rain Gage,47.56848,-122.147,City of Bellevue hosted data.,Precipitation Gauge(Recording),,
COB_RG11,1603,City of Bellevue Phantom Lake Rain Gage,47.59555,-122.12,City of Bellevue hosted data.,Precipitation Gauge(Recording),,
COB_VCF,1606,City of Bellevue Valley Creek Flow Site,47.62504,-122.153,City of Bellevue hosted data.,Stream Gauge(Recording),,
COB_VasaWLS,1605,City of Bellevue Vasa Creek at West Lk Sammamish,47.57836,-122.114,City of Bellevue hosted data.,Stream Gauge(Recording),,
COS_Site02,1899,Chestnut Pond Outflow - City of Sammamish Site 2,47.60132,-122.062,,Stream Gauge(Recording),14.2,
COS_Site05,1917,Crossings at Pine Lake West - City of Sammamish,47.59476,-122.06,,Stream Gauge(Recording),10.17,
COS_Site06,1901,Crossings at Pine Lake East - City of Sammamish Site 06,47.59467,-122.058,,Stream Gauge(Recording),5.36,
DR0549,2149,Pump Plant 23 Regional Stormwater Facility,47.50104,-122.323,,Stream Gauge(Recording),328.92,"invert of intake pipe 324.64, from SWS"
DR0642,1946,Madsen Creek Dam Regional Stormwater Facility,47.45884,-122.147,telemetered water level recorder,Stream Gauge(Recording),441.2,
DR0657,1875,Rosemont at Timberline Pond,47.65354,-122.066,For SWS,Stream Gauge(Recording),200.3,plans say 199.50
DSRLK,1898,Lake Desire,47.43869,-122.108,,Temperature and Lake Level (Recording),495,
ECHLK,1968,Echo Lake,47.77027,-122.344,,Temperature and Lake Level (Recording),398.93,Bob Pendergast
EDM,2059,Edmonds Rain Gage at Westgate,47.79481,-122.363,,Precipitation Gauge(Recording),,
EPA06600-CHUC01,1287,Chuckanut Creek,48.70215,-122.485,Still deployed as of 11/26/2013,,,
ER-11p-12,1433,Elliott Reach Well 11p,47.46802,-122.137,,Groundwater Observation Well(Recording),102.8,top PVC
ER-1p-12,1425,Elliott Reach Well 1p,47.4678,-122.141,,Groundwater Observation Well(Recording),101.9,top PVC
ER-5p-12,1428,Elliott Reach Well 5p,47.46823,-122.143,,Groundwater Observation Well(Recording),97.8,top PVC
Elliott_DN,1213,Elliott Reach Downstream Gage,47.46841,-122.141,Level only,Stream Gauge(Recording),93.91,"top of two inch pipe threads, gps survey 6/14/2012"
Elliott_UP,1212,Elliott Reach Upstream Gage,47.46787,-122.137,Level only,Stream Gauge(Recording),99.13,"top of vertical sign post, horizontal piece 97.25; gps survey 6/14/2012"
FACT,652,Factoria I&I Rain Gage,47.58314,-122.158,At KCSW Factoria Transfer Station,Precipitation Gauge(Recording),,
FREW_01,1746,Tolt Corridor Study River Site 1,47.63771,-121.917,,Stream Gauge(Recording),,"234,494.06003 1,373,223.44908 Foot"
FREW_02,1747,Tolt Corridor Study River Site 2,47.6383,-121.909,,Stream Gauge(Recording),,"234,683.87472 1,375,272.25210"
FREW_03,1748,Tolt Corricor Study River Site 3,47.63959,-121.908,,Stream Gauge(Recording),,"235,148.70769 1,375,411.67109"
FREW_04,1749,Tolt Corricor Study Pond Site 4,47.63975,-121.917,,Stream Gauge(Recording),,
FREW_05,1750,Tolt Corricor Study Pond Site 5 - Hiway,47.63956,-121.916,,Stream Gauge(Recording),,
FREW_06,1752,Tolt Corricor Study Pond Site 6,47.63928,-121.916,,Stream Gauge(Recording),,
FREW_07,1753,Tolt Corricor Study Pond Site 7,47.63932,-121.909,,Stream Gauge(Recording),,
FREW_08,1754,Tolt Corricor Study Pond Site 8,47.64012,-121.91,,Stream Gauge(Recording),,
FW_DPC,1588,Federal_Way_356th_discharge_point_to_creek,47.28355,-122.319,Kate MacNeale BMP monitoring project station,Stream Gauge(Recording),,
FW_EB,1579,Federal_Way_356th_east_bioretention_depth,47.28373,-122.32,Kate MacNeale BMP monitoring project station,Stream Gauge(Recording),,
FW_EBI,1581,Federal_Way_356th_east_bioretention_inlet,47.28402,-122.319,Kate MacNeale BMP monitoring project station,StCrest/Staff Gauge,,
FW_EBO,1583,Federal_Way_356th_east_bioretention_outlet,47.28366,-122.319,Kate MacNeale BMP monitoring project station,Stream Gauge(Recording),,
FW_NFWHC,1587,Federal_Way_North_Fork_West_Hylebos_Creek,47.28005,-122.32,Kate MacNeale BMP monitoring project station,Stream Gauge(Recording),,
FW_WB,1580,Federal_Way_356th_west_bioretention_depth,47.28302,-122.321,Kate MacNeale BMP monitoring project station,Stream Gauge(Recording),,
FW_WBI,1582,Federal_Way_356th_west_bioretention_inlet,47.28402,-122.319,Kate MacNeale BMP monitoring project station,Stream Gauge(Recording),,
FW_WBO,1584,Federal_Way_356th_west_bioretention_outlet,47.28272,-122.321,Kate MacNeale BMP monitoring project station,Stream Gauge(Recording),,
FW_WPCEBO,1586,Federal_Way_356th_wetland_complex_and_EBO_outlet,47.28361,-122.319,Kate MacNeale BMP monitoring project station,Stream Gauge(Recording),,
FW_WPCI,1585,Federal_Way_356th_wetland_complex_inlet,47.28529,-122.32,Kate MacNeale BMP monitoring project station,Stream Gauge(Recording),,
GNVLK,1874,Lake Geneva,47.29129,-122.28,,Temperature and Lake Level (Recording),375,
GRELK,1862,Green Lake,47.68157,-122.329,,Temperature and Lake Level (Recording),,
GRT10,607,Green River Temperature at Whitney Bridge,47.28214,-122.054,"Restarted 7/24/2013, def. 50ft US of bridge left Bank",Water Temperature Recorder,,
GRT40,1246,Green River Temperature Under Interurban Ave. bridge near Fort Dent,47.46539,-122.248,Ecology 2006 TMDL site 09-GRE-FOR,Water Temperature Recorder,,
GRT41,1247,Green River Temperature Under 42nd Ave. S bridge near Tukwila Community Center,47.49002,-122.28,At Ecology 2006 TMDL study site 09-GRE-COM. On left bank.,Water Temperature Recorder,,
GSC1,1957,Tolt Girl Scout Camp CSG,47.6408,-121.892,,Stream Gauge(Recording),114.88,
GSC2,1958,Tolt Girl Scout Camp river,47.64192,-121.892,,Stream Gauge(Recording),118.01,
GSC3,1959,Tolt Girl Scout Camp flood1,47.64171,-121.892,,Stream Gauge(Recording),116.04,
GSC4,1961,Tolt Girl Scout Camp flood2,47.64137,-121.895,,Stream Gauge(Recording),104.15,
GovCan_1,1228,Ellingson Weir Upstream,47.27216,-122.246,"for FCZD, behind 45 degree weir",Stream Gauge(Recording),80.25,"Top weir plate, top pvc 80.73, top boeing 80.25"
GovCan_2,1229,Ellsington Weir Downstream,47.27212,-122.246,"for FCZD, water level only",Stream Gauge(Recording),83.75,"bottom v-notch weir 73.6, pvc hex 83.75"
GovCan_3,1230,Government Canal below Butte,47.2584,-122.245,"for FCZD, water level only",Stream Gauge(Recording),72.62,top pvc hex
HAU2,1517,Hamm Creek Rain - new site,47.51998,-122.309,Replaces HAU,Precipitation Gauge(Recording),30,iMap 5' contours
HEAT330LQY330101,1015,Heathfield PS,47.57828,-122.124,Site code changed Jan 16 2013 per WTD,WTD Rain Gage,,
HEND774LQY774101,1018,Henderson PS,47.52312,-122.265,Site Code changed Jan 16 2013 per WTD,WTD Rain Gage,,
HOLL308LQY308101,1014,Hollywood PS,47.71097,-122.142,Site Code changed Jan 16 2013 per WTD,WTD Rain Gage,,
HW_92289,1539,Hunters Wood Div 1 Sormwater Facility D92289,47.67621,-122.056,,Stream Gauge(Recording),430,from iMap
HW_92411,1538,Hunters Wood Div. 1 Stormwater Facility D92411,47.6789,-122.056,,Stream Gauge(Recording),430,from iMap
JBAY,672,Juanita Bay I&I Rain Gage,47.70555,-122.218,Connected to loggernet via new CR300-210 on 5/20/2020,Precipitation Gauge(Recording),,
JOYLK,1895,Lake Joy,47.69905,-121.872,,Temperature and Lake Level (Recording),530,
JanRD_BH5,1931,Jan Road Borehole 5,47.42511,-122.049,16.5' deep,Groundwater Observation Well(Recording),,
JanRD_H1,1903,Jan Road River Gage H1,47.41832,-122.046,,Stream Gauge(Recording),279.47,top yellow cap 283.14
JanRD_H2,1902,Jan Road River Gage H2,47.42471,-122.046,,Stream Gauge(Recording),,
JanRD_H3,1904,Jan Road River Gage H3,47.42472,-122.051,,Stream Gauge(Recording),,
JanRD_H4,1905,Jan Road River Gage H4,47.42854,-122.053,,Stream Gauge(Recording),,
JanRD_H6,2115,JanRd Byers Reach at Lyons Camp,47.4359,-122.006,,Stream Gauge(Recording),,
JanRd_AMW01,2100,JanRd AMW_01,47.42492,-122.046,,Groundwater Observation Well(Recording),,
JanRd_AMW02,2101,JanRd AMW_02,47.42564,-122.05,,Groundwater Observation Well(Recording),,
JanRd_AMW03,2114,JanRD AMW 03 Groundwater Well,47.42739,-122.05,,Groundwater Observation Well(Recording),,
KANG,666,Kent-Kangley I&I Rain Gage,47.35785,-122.133,At Fire Station,Precipitation Gauge(Recording),,
KIRK,673,Kirkland I&I Rain Gage,47.6823,-122.192,,Precipitation Gauge(Recording),,
LC_WL01,2102,Lions Camp Water Level Logger,47.43579,-122.056,,Stream Gauge(Recording),,
LHPS,667,Lakeland Hills - Orovitz Pump Station I&I Rain Gage,47.26995,-122.221,,Precipitation Gauge(Recording),,
LQF770078VL,1016,Rainier Ave PS,47.56969,-122.291,,WTD Rain Gage,,
LQF773078VL,1017,East Marginal Way PS,47.5366,-122.318,,WTD Rain Gage,,
LQF783078VL,1019,East Pine PS,47.61502,-122.281,,WTD Rain Gage,,
LQF786078VL,1020,Matthews Park PS,47.69645,-122.276,,WTD Rain Gage,,
LQF788078VL,1021,Kenmore PS,47.75799,-122.253,,WTD Rain Gage,,
LQF801078VL,1023,King Street RS,47.5983,-122.336,,WTD Rain Gage,,
LQF806078VL,1024,Chelan RS,47.57261,-122.359,,WTD Rain Gage,,
LQF813178VL,1025,Denny Way RS,47.61838,-122.36,,WTD Rain Gage,,
LQF815078VL,1026,Ballard RS,47.66403,-122.382,,WTD Rain Gage,,
LQF817078,1022,Dexter Avenue Regulator Sta,47.6323,-122.342,,WTD Rain Gage,,
LQF819078VL,1027,University RS,47.65044,-122.307,,WTD Rain Gage,,
LRLS_300,2140,Lower Russel Levee Setback 300 foot NTU,47.40156,-122.274,,Stream Gauge(Recording),,
LRLS_BG,2139,Lower Russel Levee Setback Background NTU,47.39603,-122.273,,Stream Gauge(Recording),,
LRLS_CP2,2141,Lower Russel Levee Setback Comp. PT 2,47.41284,-122.265,,Stream Gauge(Recording),,
LT-1,1418,Shoreline WQI Site LT-1,,,,Stream Gauge(Recording),,
LUCLK,1934,Lake Lucerne,47.36735,-122.05,,Temperature and Lake Level (Recording),,
LYNN2,1945,Lynnwood I&I Rain gage - New Site,47.83647,-122.273,telemetered site,Precipitation Gauge(Recording),,
L_1500,2117,Lones NTU 1500 feet,47.27545,-122.119,Turbidity site for Lones,Stream Gauge(Recording),,
L_1mile,2134,Lones Turbidity 1 mile,47.27558,-122.132,,Stream Gauge(Recording),,
L_300,2123,Lones NTU 300 feet,47.27526,-122.115,near Lones_05,Crest/Staff Gauge,,
L_3mile,2133,Lones Turbidity 3 Mile,47.29357,-122.165,,Crest/Staff Gauge,,
L_6mile,2050,Green River @ Riverview Dr NE,47.321,-122.205,AKA 32E,Stream Gauge(Recording),,
L_BG,2109,Green River Turbidity above 212th Way SE,47.28187,-122.055,AKA 40T,Stream Gauge(Recording),,
Lones_02,1758,Lones Levee Burns Creek,47.27721,-122.108,"103,713.66721 1,323,924.66130",Stream Gauge(Recording),113.75,LONES_2 TOP OF STEEL PIPE
Lones_05,1761,Lones Levee River Site (Coates),47.27503,-122.117,,Stream Gauge(Recording),109.52,LONES_5 TOP OF PIPE/THREADS
Lones_06,1771,Lones Levee Tree Farm Side Channel,47.27593,-122.118,"3/4"" dia. Steel pipe driven into bed, pvc pipe clamped to it",Stream Gauge(Recording),108.11,LONES_6 TOP OF STEEL PIPE; top of hex fitting on pvc pipe 109.95
Lones_07,2066,Lones_07,47.27593,-122.111,,Groundwater Observation Well(Recording),,
MARY,653,Marymoor Park I&I Rain Gage,47.6635,-122.12,By Art Barn in Marymoor Park,Precipitation Gauge(Recording),30,
4-May,1096,MAY4 - May Cr ab 148th AV SE,47.51172,-122.136,upstream end of bridge at Red Barn,Stream Gauge(Recording),315.09,Top PVC. B. Pendergast survey
MAY_GW_1_BCB334,1111,May Valley Monitoring Well 1,47.51493,-122.143,,Groundwater Observation Well(Recording),,
MAY_GW_2_BCB335,1110,May Valley Monitoring Well 2,47.51582,-122.143,,Groundwater Observation Well(Recording),313.01,top PVC. B. Pendergast survey
MAY_GW_3_BCB336,1112,May Valley Monitoring Well 3,47.51322,-122.137,,Groundwater Observation Well(Recording),314.95,Top PVC. B.Pendergast survey
MAY_GW_4_BCB337,1113,May Valley Monitoring Well 4,47.51096,-122.137,,Groundwater Observation Well(Recording),315.79,Top PVC. B. Pendergast survey
MAY_GW_5_BCB338,1114,May Valley Monitoring Well 5,47.51003,-122.134,,Groundwater Observation Well(Recording),316.23,Top PVC. B. Pendergast survey
MBW_S1,1519,Middle Boise Van Wieringen Stream 1,47.19038,-121.985,Upstream gage,Stream Gauge(Recording),743.72,"top PVC pipe, cap off"
MBW_S2,1520,Middle Boise Van Wieringen Stream 2,47.19065,-121.988,Middle stream gage,Stream Gauge(Recording),736.56,"top PVC pipe, cap off"
MBW_S3,1521,Middle Boise Van Wieringen Stream 3,47.18952,-121.991,Lower stream gage,Stream Gauge(Recording),738.74,"Top of PVC pipe, cap off"
MB_MW1,1637,Middle Boise New Channel in creek by LWD,47.19005,-121.983,Screened Wellpoint,Stream Gauge(Recording),745.19,TOP OF CAP 745.19; TOP OF PIPE 745.19 ; WS 1/17/2014 12:45 742.07
MC-1,1417,Shoreline WQI Site MC-1,,,,Stream Gauge(Recording),,
MCSN,670,Martha Lake I&I Rain Gage,47.85867,-122.239,,Precipitation Gauge(Recording),,
MED,1028,Medina PS,47.61708,-122.232,Site Code changed Jan 16 2013 per WTD,WTD Rain Gage,,
MERC,651,Mercer Island I&I Rain Gage,47.57218,-122.224,At Mercer Is School District Administratio offices,Precipitation Gauge(Recording),,
MFK_01,1797,Middle Fork at end of Copper Queen Rd.,47.49918,-121.376,On MFK of Sno ~50m DS of camp at end of Copper Queen Rd. Riv right.,Water Temperature Recorder,,
MFK_03,1799,Middle Fork just upstream of footbridge to Goldmyer,47.48816,-121.388,"about 50m US of footbride on riv right. Just off trail, behind boulder",Water Temperature Recorder,,
MFK_04,1800,Middle Fork just below Burntboot overflow channel,47.48621,-121.401,"On riv right, just DS of side channel confl w main channel.",Water Temperature Recorder,,
MFK_05,1801,Middle Fork by abandoned road campsite,47.48787,-121.415,DS of campsite at terminus of decom rd off FS rd 5620. On river right.,Water Temperature Recorder,,
MFK_06,1802,Middle Fork under maple on FS 5620 Rd,47.49053,-121.43,On MFK where 5620 Rd abuts river. Under big maple on armored R bank.,Water Temperature Recorder,,
MFK_06b,1872,Middle Fork above Dingford,47.49881,-121.446,on river right. About 1.2 miles from gate. In outside bend.,Water Temperature Recorder,,
MFK_06c,2108,Middle Fork below Dingford,,,Installed by D. Restivo of USGS. Exact location details TBD.,Water Temperature Recorder,,
MFK_06d,1928,Middle Fork above Taylor,47.54493,-121.526,See field sheet and pics for detailed location information.,Water Temperature Recorder,,
MFK_07,1815,Middle Fork just DS of Taylor,47.54719,-121.537,"Cross foot bridge, walk 50m US on left bank. Anchored to boulders.",Water Temperature Recorder,,
MFK_08,1813,Middle Fork on Oxbow Trail,47.51311,-121.606,Take Oxbow trail to river. Look for boulder with beached root wad.,Water Temperature Recorder,,
MFK_10,1821,Middle Fork at Mailbox Trailhead,47.47022,-121.674,"Call Margaret Henry (802-230-5193) before visit. Park there, take trail.",Water Temperature Recorder,688,feet. From gps
MFK_11,1816,Middle Fork at Tanner Rd,47.47601,-121.745,At start of Tanner Rd near N Bend Wy. Anchored to big leaf maple.,Water Temperature Recorder,,
MFK_12,1817,Middle Fork at 428th Ave,47.51621,-121.77,,Water Temperature Recorder,,
MFK_GMY_ATC,1794,Air temperature logger on Goldmyer property,47.48451,-121.393,Just downstream of washed out Middle Fork trail bridge over Burntboot Cr,Weather Station,,
MINA_MW01,1627,Middle Issaquah Natural Area Instream south side of Issaquah Creek,47.46106,-122.021,Screened Wellpoint,Stream Gauge(Recording),302.19,top of pipe. 2017 survey. Ground = 299.88. 2015 Bob P survey ele 302.23
MINA_MW03,1628,Middle Issaquah Natural Area Wet Swale just north of Creek,47.4613,-122.021,Screened Wellpoint,Stream Gauge(Recording),303.79,top of pipe
MINA_MW05,1726,Middle Issaquah Natural Area Wetland in parcel 9122,47.46164,-122.024,,Stream Gauge(Recording),299.97,
MINA_MW06,1727,Middle Issaquah Natural Area Wetland in North side of parcel,47.46169,-122.022,,Stream Gauge(Recording),301.97,ground at well 298.67; 2017 survey
MINA_MW11,1776,Middle Issaquah,,,,Stream Gauge(Recording),303.14,MW/WELL 11 TOP OF CAP; GD/WELL 11 +2.6' TO TOP CAP (300.54)
MINA_MW12,1974,Replaces WM_7,47.46135,-122.022,,Stream Gauge(Recording),299.43,
MINA_MW13,1948,Middle Issaquah Creek; Replaces MINA_MW8,47.46129,-122.023,,Stream Gauge(Recording),,
MINA_MW14,1969,Replaces MW9,47.46176,-122.024,,Stream Gauge(Recording),,
MNCR,668,North Creek Maltby I&I Rain Gage,47.82395,-122.195,,Precipitation Gauge(Recording),,
MORLK,1933,Morton Lake,47.32671,-122.085,,Temperature and Lake Level (Recording),,
MRCLK,1896,Lake Marcel,47.69756,-121.917,,Temperature and Lake Level (Recording),290,
MRGLK,1873,Lake Margaret,47.76761,-121.9,,Temperature and Lake Level (Recording),810,
MS002,752,Pierce County Clover Test 02,,,,Water Temperature Recorder,,
MS006,753,Pierce County Test 06,,,,Water Temperature Recorder,,
McElhoe_1,1106,Snoqualmie River at McElhoe Projec,47.6583,-121.925,level only,Stream Gauge(Recording),55.27,"top pipe w/o cap, from Tensing spreadsheet"
McElhoe_2,1634,Scour Pool #2,,,Screened Wellpoint,Stream Gauge(Recording),53.6,"top cap, from Tensing spreadsheet"
McElhoe_3,1635,Backwater Area #2,,,Screened Wellpoint,Stream Gauge(Recording),52.21,"top cap, from Tensing spreadsheet"
McElhoe_4,1636,Low Flow Wetland,,,Screened Wellpoint,Stream Gauge(Recording),53.57,"top cap, from Tensing spreadsheet"
